Title,Rating,No of reviews,location,Part of,What you will do,Host,Since,reviews,verification,comment,url
Lettering with a Kindred Spirit,5.0,Rated 5.0 out of 5 from 9 reviews.,"Montgomery, United States",Airbnb Online Experiences,"We will dive into the elegant art of Hand-lettering. Similar to calligraphy in style, yet different in materials, lettering only requires basic washable markers, sharpies, or your favorite pen. We will begin by exploring the basic strokes of lettering. From there we will examine different styles to diversify our artwork. Once we feel comfortable with some of the basics, we will begin lettering words and longer quotes. Ultimately, you will create a card or small poster that you feel proud of, and that represents you well.",Online experience hosted by Kindred,Host on Airbnb since 2018,9 Reviews,Identity verified,"Hey, I'm Kindred--elementary and high school teacher by day and master hand-letterer by night! If you were to ever get your hands on one of my childhood journals, you will spot my sweet attempts as ""calligraphy"" that I completed at school with any sort of sparkly and sharpened pencil.  Once I truly learned the art of lettering, I could not be stopped from crafting on every blank surface--other than the walls. As stress relief, I mastered lettering in my time as an undergraduate at Wellesley College and a graduate student at Harvard University. From cards for friends to posters for classrooms to the pages of my own journal, I enjoy using pens, watercolors, markers--any sort of writing utensils--to artistically present my favorite quotes and sayings or just my love for those around me. Hey, I'm Kindred--elementary and high school teacher by day and master hand-letterer by night! If you were to ever get your hands on one of my childhood journals, you will spot my sweet attempts as ""calligraphy"" that I completed at school with any sort of sparkly and sharpened pencil.  Once I truly learned the art of lettering, I could not be stopped from crafting on every blank surface--other than the walls. As stress relief, I mastered lettering in my time as an undergraduate at Wellesley Coll… ",https://www.airbnb.co.in/experiences/1713500?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Puerto Rican Salsa Dance Party,4.97,Rated 4.97 out of 5 from 145 reviews.,"San Juan, Puerto Rico",Airbnb Online Experiences,"Transport yourself to the Caribbean with this virtual salsa dance party. Learn local moves from local experts without ever leaving your house. I’ll show you how to party like you’re in Puerto Rico step-by-step, island drinks and all. It all starts with the drinks (and the liquid courage they provide). You bring the booze, and I’ll teach you how to make tropical cocktails with ingredients you have in your own home. After sharing a toast and getting to know each other, we’ll go over the basics of “Salsa de Calle” and other Caribbean dance styles for both singles and couples. “Salsa de Calle,” or street salsa, is a more casual style of dance that emphasizes just feeling the music, not technical counts or postures. Once you master these fluid and flexible steps, I’ll turn on some classic salsa music and we’ll dance the night away. Salud and cheers to a night of fun and new friendships! Transport yourself to the Caribbean with this virtual salsa dance party. Learn local moves from local experts without ever leaving your house. I’ll show you how to party like you’re in Puerto Rico step-by-step, island drinks and all. It all starts with the drinks (and the liquid courage they provide). You bring the booze, and I’ll teach you how to make tropical cocktails with ingredients you have in your own home. After sharing a toast… ",Online experience hosted by Angelina,Host on Airbnb since 2015,145 Reviews,Identity verified,"Hello, my name is Angelina, and I’m a Latina dancer, singer, and actress with a degree in Musical Theatre from Northwestern University.  As a musician and performer with years of experience, I’ve released two albums, racked up songwriting credits for film and TV, published my own music web series, ""¡GLOBAILE!"", and written and starred in a one-woman musical comedy ""Sorta Rican"" that’s toured throughout the United States and Puerto Rico. Since moving to my motherland of Puerto Rico, I’ve shared my passion for music with travelers, teaching salsa dancing classes at several hotels, weddings, events, and, of course, here on Airbnb. I’m a regular ""Salsera"" on the Puerto Rican dance scene, and I’m thrilled to share my knowledge, skills, inside tips, and love of the culture with you! Hello, my name is Angelina, and I’m a Latina dancer, singer, and actress with a degree in Musical Theatre from Northwestern University.  As a musician and performer with years of experience, I’ve released two albums, racked up songwriting credits for film and TV, published my own music web series, ""¡GLOBAILE!"", and written and starred in a one-woman musical comedy ""Sorta Rican"" that’s toured throughout the United States and Puerto Rico. Since moving to my motherland of Puerto Rico, I’… ",https://www.airbnb.co.in/experiences/1660940?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Treasure Hunt - The Forgotten Recipe,4.97,Rated 4.97 out of 5 from 40 reviews.,"Cavriglia, Italy",Airbnb Online Experiences,"The old great-grandfather Sigismondo, after years of trying, managed to elaborate his sublime version of one of the most ancient Tuscan recipes. However, before giving it to his descendants as his legacy, he thought he had to test them. The recipe is hidden, in fact, in the garden of his country residence, enclosed in a labyrinth of puzzles and riddles. I will need your help to deal with this quest. After showing you an overview of the garden through the lens of my smartphone, we will join our efforts and, while you'll watch exactly what I'll see, live, we will cohoperate juggling between one clue and another. We procede together, just as if you were next to me, while actually being comfortably seated on your sofa with the PC connected to the internet in front of you. You will have to do your best to complete Sigismondo's trials, through codes and encrypted messages. Once you have succeeded in this venture, to thank you for your help, I will share, in addition to the perpetual glory, the tasty recipe that for too many years remained hidden to my palate. -- Cost is intended per person. - Children are often much more ingenious than adults. Get help from your little explorers! - - In case of bad weather I will notify you as soon as possible and we will choose a new date to play the experience! - The old great-grandfather Sigismondo, after years of trying, managed to elaborate his sublime version of one of the most ancient Tuscan recipes. However, before giving it to his descendants as his legacy, he thought he had to test them. The recipe is hidden, in fact, in the garden of his country residence, enclosed in a labyrinth of puzzles and riddles. I will need your help to deal with this quest. After showing you an overview of the garden thr… ",Online experience hosted by Pietro,Host on Airbnb since 2015,40 Reviews,Identity verified,"Graduated in law and passionate about art and puzzles, I love to travel to discover new people and worlds! For more than 2 years I have been organizing a treasure hunt in the center of Florence (""Treasure hunt in the hidden florence"") which entertained over 3000 participants. But a treasure hunt can be played anywhere, as long as enthusiasm and imagination are present. Follow me, then, and you will discover that you're never too grown up to venture out and explore the Mystery.",https://www.airbnb.co.in/experiences/1689997?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Cooking Colombians Empanadas & Arepas,4.89,Rated 4.89 out of 5 from 28 reviews.,"Cartagena, Colombia",Airbnb Online Experiences,"Get ready to make your own Colombian arepas and empanadas with the best sauces! during one hour and a half I will teach you my tips and show you how to prepare the traditional Colombians empanadas and arepas from the kitchen of our family restaurant located in the historical center of Cartagena, also you will learn how to make the best sauces to accompany your empanadas and arepas, and as if that wasn't enough, we will also learn how to prepare the delicious and crunchy patacones of plantains! while we learn the history and culture behind each dish, and if possible learn some Colombian Spanish :) This experience is suitable for vegetarians, and is gluten-free. Get ready to make your own Colombian arepas and empanadas with the best sauces! during one hour and a half I will teach you my tips and show you how to prepare the traditional Colombians empanadas and arepas from the kitchen of our family restaurant located in the historical center of Cartagena, also you will learn how to make the best sauces to accompany your empanadas and arepas, and as if that wasn't enough, we will also learn how to prep… ",Online experience hosted by Tiffany And Jose,Host on Airbnb since 2019,28 Reviews,Identity verified,"My name is Jose, I am a chef of typical food Cartagena, my family and I have created a restaurant with our recipes in the historic center of the city, in that same restaurant we began to give cooking classes to travelers from around the world, and we discovered as a family that sharing our culture is something very rewarding, honestly one of the best experiences of our lives, and many friends made, many stories, many things learned, and many smiles.",https://www.airbnb.co.in/experiences/1686896?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Pastel de Nata Baking Class,4.98,Rated 4.98 out of 5 from 100 reviews.,"MAIA-PORTO, Portugal",Airbnb Online Experiences,"We will take this online class directly from my kitchen, an excellent opportunity to emerge in Portuguese culture and discover some secrets. It will be a unique and fantastic experience !! First I will introduce myself and talk a little about how this wonderful adventure of sharing the culture and gastronomy of my country started, then we start cooking the best pastel de nata in the world! A unique, traditional and family recipe. Flavors that remind me my childhood. The pastel de nata that you will learn with me is my grandmother's recipe, at the age of 6 I was already helping her to make this magnificent recipe. Today it will be you time to bake it, taste and later share it with someone special. Passing on these traditions to others has become a passion for me! In the end we will share the result and of course, taste it!  We will take this online class directly from my kitchen, an excellent opportunity to emerge in Portuguese culture and discover some secrets. It will be a unique and fantastic experience !! First I will introduce myself and talk a little about how this wonderful adventure of sharing the culture and gastronomy of my country started, then we start cooking the best pastel de nata in the world! A unique, traditional and family recipe. Flavors tha… ",Online experience hosted by Inês,Host on Airbnb since 2014,100 Reviews,Identity verified,"Hello!! I'm Inês from the south of Portugal but I've been living in Porto for 4 years. I am passionate about showing people the best we have in our country. I love to cook, especially sweets, cakes. As a foodie, who traveled the world in search of the best dishes and desserts, I can assure you that Portugal is the perfect country to taste the best desserts in the world. I am not a professional pastry chef, but my experience of making sweets for more than 10 years makes me a very sweet person with the best hands for sweets. Every time we had a family event I was in charge of making all the food and, of course, desserts and people loved it. I started selling my cakes and sweets to small stores in my city. Pastel de Nata, the most famous and delicious candy in Portugal, became a passion for me when I first cooked it Hello!! I'm Inês from the south of Portugal but I've been living in Porto for 4 years. I am passionate about showing people the best we have in our country. I love to cook, especially sweets, cakes. As a foodie, who traveled the world in search of the best dishes and desserts, I can assure you that Portugal is the perfect country to taste the best desserts in the world. I am not a professional pastry chef, but my experience of making sweets for more than 10 years makes me a very sweet perso… ",https://www.airbnb.co.in/experiences/1658231?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
French Crepe with Apples Cooking Class,4.97,Rated 4.97 out of 5 from 179 reviews.,"Nice, France",Airbnb Online Experiences,"Explore French flavors and learn how easy it is to cook the crepe, a traditional recipe.  In this interactive online experience, I’ll teach you how to make a French crepe. Once I walk you through this recipe step by step, you’ll be able to re-create this dish to wow your family and friends in the future for your breakfast, brunch and even for a formal diner. We’ll go through the basic recipes, and then I’ll show you how to improve the standard dish to give it your own unique (and soon-to-be signature!) flavor. The ingredients we will use are very common: eggs, a little of flour, a little of sugar, a little of butter and not a lot of milk. You could do this recipe in family,  with friends or even for a team-building event.  It's a good anniversary present. It's a way to spend some times with family or friends who are living far from you. It's having a fun moment with people you never met before from all around the world. It's a way to not have a boring day! I hope that after this cooking class you would like to visit me in France to make other experiences in person with me staying in my bed and breakfast ;-) Reservation for a breakfast:   https://www.airbnb.fr/experiences/188456     Reservation for a brunch : https://www.airbnb.fr/experiences/213559 Reservation for the B&B: https://www.airbnb.fr/users/3559141/listings Explore French flavors and learn how easy it is to cook the crepe, a traditional recipe.  In this interactive online experience, I’ll teach you how to make a French crepe. Once I walk you through this recipe step by step, you’ll be able to re-create this dish to wow your family and friends in the future for your breakfast, brunch and even for a formal diner. We’ll go through the basic recipes, and then I’ll show you how to improve the… ",Online experience hosted by Emma,Host on Airbnb since 2012,179 Reviews,Identity verified,"For the past 2 years, I've welcomed many guests around my table for French breakfast and brunch through Airbnb, receiving hundreds of 5-star reviews. Some of my guests have even told me that I need to have a TV show to share my French way of cooking with the world. Guess what? Airbnb created an even better opportunity for me. Thanks to online experiences, I can bring my kitchen to you and make delicious dishes with you in real-time, no matter where you are in the world. Let’s cook French cuisine together!",https://www.airbnb.co.in/experiences/1683137?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
"One Day in Shibuya, Tokyo",4.90,Rated 4.90 out of 5 from 91 reviews.,"渋谷区, Japan",Airbnb Online Experiences,"The online experience is perfect for everyone who is interested in Shibuya, or those who never been to visit Tokyo! I will host you from my house or my office in Tokyo :) Using videos and photos, I will virtually take you through around this neighborhood where combines both traditional and modern aspects. You can also learn Japanese culture and languages as well. If you’ve already been to Shibuya, you will have amazing memories and you can talk with one of our local guides again! If not, let’s find the best things to do in Shibuya! First off, I will start my online virtual tour from Hachiko, the dog statue. Then, show you around the best places around the town. This is not just watching video tour! Be ready to answer my quizzes during the experience! After spending 1 hour with me, you will be Shibuya expert! Feel free to ask us anything, if you have any questions during the online experience! We work at the tourist information center in Shibuya, so you will get much information. This 1 hour online experience will show you the BEST of Shibuya!! Let's have fun together !! The online experience is perfect for everyone who is interested in Shibuya, or those who never been to visit Tokyo! I will host you from my house or my office in Tokyo :) Using videos and photos, I will virtually take you through around this neighborhood where combines both traditional and modern aspects. You can also learn Japanese culture and languages as well. If you’ve already been to Shibuya, you will have amazing memor… ",Online experience hosted by Fumino & Shunta,Host on Airbnb since 2014,91 Reviews,Identity verified,"Hello everyone! I run the tour called ""JLB Tours"" with my team members, Fumino and Shunta. We are located in Shibuya Official Tourist information center, and help 200 travelers almost every day. We all know pretty much about Tokyo, especially about Shibuya & Harajuku. I would like you to know how interesting to explore the area. I will show you lots of unique and hidden places and make you feel like locals wherever you go!! I love to meet people and enjoy talking with people from all over the world. Let's have fun and share the wonderful moment together!! Looking forward to seeing you! Hello everyone! I run the tour called ""JLB Tours"" with my team members, Fumino and Shunta. We are located in Shibuya Official Tourist information center, and help 200 travelers almost every day. We all know pretty much about Tokyo, especially about Shibuya & Harajuku. I would like you to know how interesting to explore the area. I will show you lots of unique and hidden places and make you feel like locals wherever you go!! I love to meet people and enjoy talking with people from all over the wo… ",https://www.airbnb.co.in/experiences/1776396?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Create Mexican Stories with Art,4.96,Rated 4.96 out of 5 from 123 reviews.,"Ciudad de México, Mexico",Airbnb Online Experiences,"Welcome to this artistic space where you are going to create extraordinary stories with traditional Mexican handcrafts. In this online experience, we are not only going to tell stories, we are going to create them!  You will learn abstract art and collage techniques!  Explore my culture trough art!  We will start by painting amazing and personalized papers! You will do it with acrylic paints, markers, watercolor or any type of paint that you have at home. I also will give you some tips to make textures in the paper and personalized them. The most amazing thing about this online experience is that you can use all the RECYCLED paper and material that you have at home. If you do not have a white paper you can use magazines, newspapers, old notebooks or any material that you have. I will show you how to create a Mexican scenario and characters of a story with paper!  Let's create a new world with paper! And let's do it with people all around the world! This experience is for everybody but I might warn you that kids are always invited. if you would like to take just and adult session please write so you can sign up in an ""only adults group"" If you are part of the homeschooling community you will have 1 hour to learn about: -Mexican culture: how is like to live in Mexico and our traditions -Art techniques: learn abstract art to express yourself -Final project! Welcome to this artistic space where you are going to create extraordinary stories with traditional Mexican handcrafts. In this online experience, we are not only going to tell stories, we are going to create them!  You will learn abstract art and collage techniques!  Explore my culture trough art!  We will start by painting amazing and personalized papers! You will do it with acrylic paints, markers, watercolor or… ",Online experience hosted by Sofia,Host on Airbnb since 2019,123 Reviews,Identity verified,"Im Sofia an art teacher since 5 years ago. I studied Design and Im specialized in Art. I am certified from Montessori Institute of Barcelona with the art degree for kids of  age 6 to 12.  Sharing my culture with art techniques has become my passion! And now Im part of the homeschooling community and with kids from all over the world.  For me be an artist is how I express myself to the world.  I teach art in many art studios around my city. I've been teaching to kids for more than 4 years and I love it! I am very patient and cozy, my main goal is to let the kids discover their passion about art its own way. I believe that art opens your mind and makes you thing in other way. Art brakes your traditional thought, it pull apart your feet from the ground and brings imagination to make you fly!! Im Sofia an art teacher since 5 years ago. I studied Design and Im specialized in Art. I am certified from Montessori Institute of Barcelona with the art degree for kids of  age 6 to 12.  Sharing my culture with art techniques has become my passion! And now Im part of the homeschooling community and with kids from all over the world.  For me be an artist is how I express myself to the world.  I teach art in many art studios around my city. I've been teaching to kids fo… ",https://www.airbnb.co.in/experiences/1693507?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Learn to Cook Mexican Salsas,4.99,Rated 4.99 out of 5 from 393 reviews.,"Ciudad de México, Mexico",Airbnb Online Experiences,"We’ll meet virtually in my kitchen and yours to make Mexican salsas together. You’ll learn to cook salsa in three traditional ways: roasted, raw, and fried. Each preparation is different in personality, flavor, and spice level, but they’re all delicious and special. Throughout the experience, you’ll receive hands-on instruction while you taste-test all the salsa you can handle. You’ll be surprised by how easy (and fun!) it is to cook salsa at home. When we’re done, you’ll have recipes to revisit whenever you’re craving some salsa.  Ideal for Corporate team-building, Anniversaries, Special Celebrations and private groups. Let us know day & time that works best for you, we can arrange it! This is an online version of “Learn to Cook Mexican Salsas,” my top-rated experience with 450+ reviews: www.airbnb.com/experiences/220468 If you will like to cook a different Mexican Delight, we can organize a private experience just for you and your group of friends and families. We can also cook: Enchildadas Chilaquiles Ceviche Chile Relleno & more... We’ll meet virtually in my kitchen and yours to make Mexican salsas together. You’ll learn to cook salsa in three traditional ways: roasted, raw, and fried. Each preparation is different in personality, flavor, and spice level, but they’re all delicious and special. Throughout the experience, you’ll receive hands-on instruction while you taste-test all the salsa you can handle. You’ll be surprised by how easy (and fun!) it is to cook salsa at hom… ",Online experience hosted by Natalia,Host on Airbnb since 2017,393 Reviews,Identity verified,"Greetings from Ciudad de México! I'm a Mexican cook with a lifetime passion for food, especially anything hot and spicy. I studied at the National School of Mexican Gastronomy and have had the opportunity to live throughout Mexico, from north to south and coast to coast. As someone who believes that food brings people together and transcends language, I love preparing and sharing meals with people from all over.  Over the past 2 years, I've welcomed hundreds of guests to my kitchen in Mexico City. I host several in-person Cooking Experiences on Airbnb—learn more about them and see reviews here: www.airbnb.com/users/show/147613055 My salsa experience was included in BuzzFeed's ""20 of the Best Airbnb Experiences in Latin America."" I've also been featured in the L.A. Times and Hoy Los Ángeles. Find more on IG @mexicansalsas Greetings from Ciudad de México! I'm a Mexican cook with a lifetime passion for food, especially anything hot and spicy. I studied at the National School of Mexican Gastronomy and have had the opportunity to live throughout Mexico, from north to south and coast to coast. As someone who believes that food brings people together and transcends language, I love preparing and sharing meals with people from all over.  Over the past 2 years, I've welcomed hundreds of guests to my kitchen in… ",https://www.airbnb.co.in/experiences/1655061?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Navigating change with Ryan Neiswender,5.0,Rated 5.0 out of 5 from 3 reviews.,Olympian and Paralympian collection,Download Zoom,"Navigating change is challenging. In this virtual experience I will share how I learn from failure, pivot during ""halftime,"" and create action-oriented goals to create impactful change. My goal is to help you and your team reach their untapped potential. If you or your team are interested, book an experience and let's talk! If you any questions about scheduling or additional time slots do not hesitate to reach out!",Paralympic experience hosted by Ryan,Paralympian · Representing USA · Host on Airbnb since 2020,3 Reviews,Identity verified,"I’m a current member of Team USA Paralympic Basketball and a former professional athlete. I’ve had the opportunity to train and compete with the best athletes across the globe. I went from being an alternate in the 2016 Rio Paralympic Games to a Para Pan American Game's gold medalist.  Now with my sights on Tokyo 2020, I will bring my experiences into your home with this online experience to help you and your team learn how to come together to achieve new levels of success!",https://www.airbnb.co.in/experiences/1818379?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
